"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","2_18a_D1_PROKKA_07032020","2_18b_A4_PROKKA_07032020","2_18b_D1_PROKKA_07032020","2_18b_D3_PROKKA_07032020","3_18a_D6_PROKKA_07032020","3_18b_C5_PROKKA_07132020","3_18b_D5_PROKKA_07132020","3_18c_C3_PROKKA_07142020","O_acuminata_ref_PROKKA_04122021"
"group_12817","","hypothetical protein","1","1","1","1","2941","35","53","","992","992","992","","","","FIJMHGMP_04816","","","","",""
"group_12818","pknD_45","Serine/threonine-protein kinase PknD","1","1","1","1","2940","35","52","","1352","1352","1352","","","","FIJMHGMP_04817","","","","",""
"group_12819","","hypothetical protein","1","1","1","1","2939","35","51","","230","230","230","","","","FIJMHGMP_04818","","","","",""
"ileS","","Isoleucine--tRNA ligase","1","1","1","1","2938","35","50","","3137","3137","3137","","","","FIJMHGMP_04819","","","","",""
"group_12821","","hypothetical protein","1","1","1","1","2974","2388","2","","218","218","218","","","","FIJMHGMP_04822","","","","",""
"group_12822","","hypothetical protein","1","1","1","1","2975","2388","1","","4142","4142","4142","","","","FIJMHGMP_04823","","","","",""
"group_12823","","hypothetical protein","1","1","1","1","2982","388","6","","1505","1505","1505","","","","FIJMHGMP_04826","","","","",""
"group_12824","","hypothetical protein","1","1","1","1","1113","12","55","","1196","1196","1196","","","","FIJMHGMP_04838","","","","",""
"group_12825","","hypothetical protein","1","1","1","1","1112","12","54","","98","98","98","","","","FIJMHGMP_04839","","","","",""
"group_12826","wspC","putative biofilm formation methyltransferase WspC","1","1","1","1","1202","274","1","","1325","1325","1325","","","","FIJMHGMP_04844","","","","",""
"group_12827","","hypothetical protein","1","1","1","1","1201","274","10","","1751","1751","1751","","","","FIJMHGMP_04845","","","","",""
"group_12828","","hypothetical protein","1","1","1","1","1200","274","9","","137","137","137","","","","FIJMHGMP_04846","","","","",""
"group_12829","","hypothetical protein","1","1","1","1","1231","6","29","","2132","2132","2132","","","","FIJMHGMP_04870","","","","",""
"group_12830","","hypothetical protein","1","1","1","1","1236","6","30","","212","212","212","","","","FIJMHGMP_04871","","","","",""
"group_12831","","hypothetical protein","1","1","1","1","1237","6","31","","491","491","491","","","","FIJMHGMP_04872","","","","",""
"group_12832","","hypothetical protein","1","1","1","1","18595","2","118","","1601","1601","1601","","","","FIJMHGMP_04875","","","","",""
"group_12833","lpxB_2","Lipid-A-disaccharide synthase","1","1","1","1","18279","2","121","","1274","1274","1274","","","","FIJMHGMP_04877","","","","",""
"group_12834","","hypothetical protein","1","1","1","1","7561","99","18","","704","704","704","","","","FIJMHGMP_04891","","","","",""
"group_12835","","hypothetical protein","1","1","1","1","7508","2497","1","","449","449","449","","","","FIJMHGMP_04895","","","","",""
"group_12836","","hypothetical protein","1","1","1","1","7512","367","7","","422","422","422","","","","FIJMHGMP_04897","","","","",""
"group_12837","","hypothetical protein","1","1","1","1","7528","158","9","","854","854","854","","","","FIJMHGMP_04910","","","","",""
"group_12838","","hypothetical protein","1","1","1","1","10017","158","11","","443","443","443","","","","FIJMHGMP_04913","","","","",""
"group_12839","","hypothetical protein","1","1","1","1","10052","307","5","","4889","4889","4889","","","","FIJMHGMP_04920","","","","",""
"group_12840","","hypothetical protein","1","1","1","1","10053","307","4","","4601","4601","4601","","","","FIJMHGMP_04921","","","","",""
"group_12841","","hypothetical protein","1","1","1","1","10054","307","3","","1043","1043","1043","","","","FIJMHGMP_04922","","","","",""
"group_12842","","hypothetical protein","1","1","1","1","10055","307","2","","4526","4526","4526","","","","FIJMHGMP_04923","","","","",""
"group_12843","","hypothetical protein","1","1","1","1","10000","2332","1","","1628","1628","1628","","","","FIJMHGMP_04926","","","","",""
"group_12844","","hypothetical protein","1","1","1","1","9999","2332","2","","1664","1664","1664","","","","FIJMHGMP_04927","","","","",""
"group_12845","","hypothetical protein","1","1","1","1","9998","2332","4","","767","767","767","","","","FIJMHGMP_04928","","","","",""
"group_12846","","hypothetical protein","1","1","1","1","9997","2332","3","","545","545","545","","","","FIJMHGMP_04929","","","","",""
"group_12847","","hypothetical protein","1","1","1","1","14356","1","2965","","2903","2903","2903","","","","FIJMHGMP_04930","","","","",""
"group_12848","","hypothetical protein","1","1","1","1","14357","1","2966","","182","182","182","","","","FIJMHGMP_04931","","","","",""
"group_12849","","hypothetical protein","1","1","1","1","14372","1","2970","","197","197","197","","","","FIJMHGMP_04935","","","","",""
"group_12850","","hypothetical protein","1","1","1","1","14373","1","2971","","566","566","566","","","","FIJMHGMP_04936","","","","",""
"group_12851","","hypothetical protein","1","1","1","1","14399","1","3073","","392","392","392","","","","FIJMHGMP_04938","","","","",""
"group_12852","","hypothetical protein","1","1","1","1","14388","1","3075","","245","245","245","","","","FIJMHGMP_04940","","","","",""
"group_12853","","hypothetical protein","1","1","1","1","14387","1","3076","","1352","1352","1352","","","","FIJMHGMP_04941","","","","",""
"group_12854","","hypothetical protein","1","1","1","1","14386","1","3077","","215","215","215","","","","FIJMHGMP_04942","","","","",""
"group_12855","","Ribonuclease VapC22","1","1","1","1","14385","1","3078","","386","386","386","","","","FIJMHGMP_04943","","","","",""
"group_12856","","hypothetical protein","1","1","1","1","14382","1","3081","","197","197","197","","","","FIJMHGMP_04946","","","","",""
"group_12857","","hypothetical protein","1","1","1","1","14381","1","3082","","131","131","131","","","","FIJMHGMP_04947","","","","",""
"group_12858","","hypothetical protein","1","1","1","1","14380","1","3083","","194","194","194","","","","FIJMHGMP_04948","","","","",""
"group_12859","","hypothetical protein","1","1","1","1","14379","1","3084","","194","194","194","","","","FIJMHGMP_04949","","","","",""
"group_12860","","hypothetical protein","1","1","1","1","12308","1","3086","","605","605","605","","","","FIJMHGMP_04951","","","","",""
"group_12861","","hypothetical protein","1","1","1","1","14443","1","3088","","449","449","449","","","","FIJMHGMP_04953","","","","",""
"group_12862","","hypothetical protein","1","1","1","1","14444","1","3089","","455","455","455","","","","FIJMHGMP_04954","","","","",""
"group_12863","","hypothetical protein","1","1","1","1","12302","1","974","","1148","1148","1148","","","","FIJMHGMP_04957","","","","",""
"group_12864","","hypothetical protein","1","1","1","1","12301","1","973","","3269","3269","3269","","","","FIJMHGMP_04958","","","","",""
"group_12865","","hypothetical protein","1","1","1","1","12300","1","972","","362","362","362","","","","FIJMHGMP_04959","","","","",""
"group_12866","","hypothetical protein","1","1","1","1","12299","1","971","","197","197","197","","","","FIJMHGMP_04960","","","","",""
"group_12867","","hypothetical protein","1","1","1","1","12298","1","970","","1532","1532","1532","","","","FIJMHGMP_04961","","","","",""
"group_12868","","hypothetical protein","1","1","1","1","12297","1","969","","1034","1034","1034","","","","FIJMHGMP_04962","","","","",""
"group_12869","","hypothetical protein","1","1","1","1","12296","1","968","","284","284","284","","","","FIJMHGMP_04963","","","","",""
"group_12870","","hypothetical protein","1","1","1","1","12295","1","967","","731","731","731","","","","FIJMHGMP_04964","","","","",""
"group_12871","","hypothetical protein","1","1","1","1","12294","1","966","","476","476","476","","","","FIJMHGMP_04965","","","","",""
"group_12872","","IS1634 family transposase ISAva4","1","1","1","1","12293","1","965","","242","242","242","","","","FIJMHGMP_04966","","","","",""
"group_12873","","IS1634 family transposase ISAva4","1","1","1","1","12292","1","964","","452","452","452","","","","FIJMHGMP_04967","","","","",""
"msbA","","Lipid A export ATP-binding/permease protein MsbA","1","1","1","1","12291","1","963","","1802","1802","1802","","","","FIJMHGMP_04968","","","","",""
"group_12875","","hypothetical protein","1","1","1","1","12290","1","962","","1208","1208","1208","","","","FIJMHGMP_04969","","","","",""
"group_12876","","hypothetical protein","1","1","1","1","12289","1","961","","314","314","314","","","","FIJMHGMP_04970","","","","",""
"group_12877","","hypothetical protein","1","1","1","1","12288","1","960","","1913","1913","1913","","","","FIJMHGMP_04971","","","","",""
"group_12878","","hypothetical protein","1","1","1","1","12287","1","959","","890","890","890","","","","FIJMHGMP_04972","","","","",""
"group_12879","","hypothetical protein","1","1","1","1","12285","1","955","","335","335","335","","","","FIJMHGMP_04974","","","","",""
"group_12880","","hypothetical protein","1","1","1","1","4800","19","58","","179","179","179","","","","FIJMHGMP_04976","","","","",""
"group_12881","","hypothetical protein","1","1","1","1","4752","19","57","","1118","1118","1118","","","","FIJMHGMP_04978","","","","",""
"group_12882","ycf3_16","Photosystem I assembly protein Ycf3","1","1","1","1","4753","19","56","","2870","2870","2870","","","","FIJMHGMP_04979","","","","",""
"ycf3_17","","Photosystem I assembly protein Ycf3","1","1","1","1","4757","19","49","","2243","2243","2243","","","","FIJMHGMP_04981","","","","",""
"group_12884","","hypothetical protein","1","1","1","1","4758","19","48","","398","398","398","","","","FIJMHGMP_04982","","","","",""
"group_12885","dnaK_3","Chaperone protein DnaK","1","1","1","1","4759","19","22","","4778","4778","4778","","","","FIJMHGMP_04983","","","","",""
"COQ5_14","","2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial","1","1","1","1","4760","19","23","","950","950","950","","","","FIJMHGMP_04984","","","","",""
"group_12887","","hypothetical protein","1","1","1","1","4824","2447","1","","1127","1127","1127","","","","FIJMHGMP_04995","","","","",""
"group_12888","","hypothetical protein","1","1","1","1","4629","386","1","","218","218","218","","","","FIJMHGMP_05003","","","","",""
"group_12889","","hypothetical protein","1","1","1","1","11031","3","92","","1340","1340","1340","","","","FIJMHGMP_05027","","","","",""
"group_12890","","hypothetical protein","1","1","1","1","10355","3","4","","2642","2642","2642","","","","FIJMHGMP_05031","","","","",""
"group_12891","","hypothetical protein","1","1","1","1","10356","3","3","","1781","1781","1781","","","","FIJMHGMP_05032","","","","",""
"group_12892","","hypothetical protein","1","1","1","1","10357","3","2","","494","494","494","","","","FIJMHGMP_05033","","","","",""
"group_12893","rbsK","Ribokinase","1","1","1","1","10358","3","1","","926","926","926","","","","FIJMHGMP_05034","","","","",""
"group_12894","","hypothetical protein","1","1","1","1","10359","3","133","","695","695","695","","","","FIJMHGMP_05035","","","","",""
"group_12895","","hypothetical protein","1","1","1","1","10853","3","135","","881","881","881","","","","FIJMHGMP_05037","","","","",""
"group_12896","","hypothetical protein","1","1","1","1","10854","3","134","","1622","1622","1622","","","","FIJMHGMP_05038","","","","",""
"group_12897","","hypothetical protein","1","1","1","1","10846","288","7","","1466","1466","1466","","","","FIJMHGMP_05040","","","","",""
"group_12898","","hypothetical protein","1","1","1","1","10845","288","8","","608","608","608","","","","FIJMHGMP_05041","","","","",""
"group_12899","mntA","Manganese-binding lipoprotein MntA","1","1","1","1","10860","130","12","","998","998","998","","","","FIJMHGMP_05045","","","","",""
"group_129","","IS66 family transposase ISCysp4","1","1","1","1","16104","182","2","","1451","1451","1451","","","","","","","","","CPEPOGAB_05835"
"group_12900","cpoB_7","Cell division coordinator CpoB","1","1","1","1","10874","130","14","","587","587","587","","","","FIJMHGMP_05048","","","","",""
"group_12901","mntP","putative manganese efflux pump MntP","1","1","1","1","4787","19","35","","533","533","533","","","","FIJMHGMP_05053","","","","",""
"group_12902","","hypothetical protein","1","1","1","1","4786","19","34","","602","602","602","","","","FIJMHGMP_05054","","","","",""
"group_12903","","hypothetical protein","1","1","1","1","4797","19","11","","7295","7295","7295","","","","FIJMHGMP_05057","","","","",""
"group_12904","","hypothetical protein","1","1","1","1","9530","2","280","","668","668","668","","","","FIJMHGMP_05061","","","","",""
"group_12905","","hypothetical protein","1","1","1","1","9531","2","279","","236","236","236","","","","FIJMHGMP_05062","","","","",""
"group_12906","","hypothetical protein","1","1","1","1","9535","2","275","","197","197","197","","","","FIJMHGMP_05065","","","","",""
"group_12907","","hypothetical protein","1","1","1","1","9509","2434","1","","2024","2024","2024","","","","FIJMHGMP_05068","","","","",""
"group_12908","","hypothetical protein","1","1","1","1","9487","353","4","","602","602","602","","","","FIJMHGMP_05080","","","","",""
"group_12909","","hypothetical protein","1","1","1","1","7042","23","17","","233","233","233","","","","FIJMHGMP_05095","","","","",""
"group_12910","","hypothetical protein","1","1","1","1","7043","23","18","","227","227","227","","","","FIJMHGMP_05096","","","","",""
"group_12911","","hypothetical protein","1","1","1","1","7044","23","19","","419","419","419","","","","FIJMHGMP_05097","","","","",""
"group_12912","","Putative cytochrome P450 135B1","1","1","1","1","7054","205","10","","1382","1382","1382","","","","FIJMHGMP_05101","","","","",""
"group_12913","","hypothetical protein","1","1","1","1","7053","205","11","","656","656","656","","","","FIJMHGMP_05102","","","","",""
"group_12914","","hypothetical protein","1","1","1","1","8309","205","4","","467","467","467","","","","FIJMHGMP_05109","","","","",""
"group_12915","","putative protein","1","1","1","1","8310","205","3","","1712","1712","1712","","","","FIJMHGMP_05110","","","","",""
"group_12916","","hypothetical protein","1","1","1","1","6836","2383","1","","569","569","569","","","","FIJMHGMP_05119","","","","",""
"group_12917","","hypothetical protein","1","1","1","1","6837","2383","2","","827","827","827","","","","FIJMHGMP_05120","","","","",""
"group_12918","arnC_6","Undecaprenyl-phosphate 4-deoxy-4-formamido-L-arabinose transferase","1","1","1","1","6871","178","21","","1025","1025","1025","","","","FIJMHGMP_05130","","","","",""
"group_12919","","Xyloglucanase","1","1","1","1","6878","178","6","","2171","2171","2171","","","","FIJMHGMP_05133","","","","",""
"group_12920","","hypothetical protein","1","1","1","1","6879","178","5","","680","680","680","","","","FIJMHGMP_05134","","","","",""
"group_12922","","hypothetical protein","1","1","1","1","9848","289","7","","203","203","203","","","","FIJMHGMP_05140","","","","",""
"group_12923","ybeY","Endoribonuclease YbeY","1","1","1","1","6897","2439","1","","521","521","521","","","","FIJMHGMP_05152","","","","",""
"group_12924","","hypothetical protein","1","1","1","1","8674","22","39","","710","710","710","","","","FIJMHGMP_05156","","","","",""
"group_12925","","hypothetical protein","1","1","1","1","8247","417","3","","254","254","254","","","","FIJMHGMP_05157","","","","",""
"group_12926","","hypothetical protein","1","1","1","1","8251","417","4","","305","305","305","","","","FIJMHGMP_05159","","","","",""
"group_12927","","hypothetical protein","1","1","1","1","8265","2454","1","","122","122","122","","","","FIJMHGMP_05165","","","","",""
"group_12928","","hypothetical protein","1","1","1","1","7093","2394","2","","722","722","722","","","","FIJMHGMP_05167","","","","",""
"group_12929","","hypothetical protein","1","1","1","1","7094","2394","1","","1769","1769","1769","","","","FIJMHGMP_05168","","","","",""
"group_12930","","hypothetical protein","1","1","1","1","7096","1","2896","","1667","1667","1667","","","","FIJMHGMP_05172","","","","",""
"group_12931","","hypothetical protein","1","1","1","1","7086","1","2895","","2153","2153","2153","","","","FIJMHGMP_05174","","","","",""
"group_12932","","hypothetical protein","1","1","1","1","8290","15","10","","1391","1391","1391","","","","FIJMHGMP_05182","","","","",""
"group_12933","","hypothetical protein","1","1","1","1","8344","15","11","","242","242","242","","","","FIJMHGMP_05183","","","","",""
"group_12934","","hypothetical protein","1","1","1","1","8343","15","29","","314","314","314","","","","FIJMHGMP_05185","","","","",""
"group_12935","","hypothetical protein","1","1","1","1","8342","15","28","","614","614","614","","","","FIJMHGMP_05186","","","","",""
"group_12936","","hypothetical protein","1","1","1","1","8341","15","27","","293","293","293","","","","FIJMHGMP_05187","","","","",""
"group_12937","","hypothetical protein","1","1","1","1","8340","15","26","","203","203","203","","","","FIJMHGMP_05188","","","","",""
"group_12938","","hypothetical protein","1","1","1","1","8338","15","24","","983","983","983","","","","FIJMHGMP_05190","","","","",""
"group_12939","","hypothetical protein","1","1","1","1","551","300","4","","3422","3422","3422","","","","FIJMHGMP_05197","","","","",""
"group_12940","","hypothetical protein","1","1","1","1","542","1059","3","","1286","1286","1286","","","","FIJMHGMP_05200","","","","",""
"group_12941","","hypothetical protein","1","1","1","1","532","53","6","","335","335","335","","","","FIJMHGMP_05203","","","","",""
"group_12942","","hypothetical protein","1","1","1","1","9562","53","23","","917","917","917","","","","FIJMHGMP_05208","","","","",""
"group_12943","","hypothetical protein","1","1","1","1","9551","","","","986","986","986","","","","FIJMHGMP_05214","","","","",""
"group_12944","","hypothetical protein","1","1","1","1","16619","2414","1","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","287","287","287","","","","FIJMHGMP_05215","","","","",""
"group_12945","","hypothetical protein","1","1","1","1","3134","348","1","","473","473","473","","","","FIJMHGMP_05236","","","","",""
"group_12946","rihA","Pyrimidine-specific ribonucleoside hydrolase RihA","1","1","1","1","1560","4","135","","1019","1019","1019","","","","FIJMHGMP_05240","","","","",""
"group_12947","","hypothetical protein","1","1","1","1","1561","4","136","","359","359","359","","","","FIJMHGMP_05241","","","","",""
"group_12948","","hypothetical protein","1","1","1","1","1545","518","3","","749","749","749","","","","FIJMHGMP_05251","","","","",""
"group_12949","","hypothetical protein","1","1","1","1","1510","16","32","","515","515","515","","","","FIJMHGMP_05263","","","","",""
"group_12950","priA","primosomal protein N'","1","1","1","1","1509","16","31","","2576","2576","2576","","","","FIJMHGMP_05264","","","","",""
"group_12951","coaE","Dephospho-CoA kinase","1","1","1","1","9252","329","8","","605","605","605","","","","FIJMHGMP_05267","","","","",""
"group_12952","sasA_38","Adaptive-response sensory-kinase SasA","1","1","1","1","9650","504","2","","1796","1796","1796","","","","FIJMHGMP_05270","","","","",""
"group_12953","","hypothetical protein","1","1","1","1","9657","2441","1","","296","296","296","","","","FIJMHGMP_05273","","","","",""
"group_12954","","hypothetical protein","1","1","1","1","9243","1","2212","","416","416","416","","","","FIJMHGMP_05276","","","","",""
"group_12955","","IS4 family transposase ISCku4","1","1","1","1","9242","1","2213","","971","971","971","","","","FIJMHGMP_05277","","","","",""
"group_12956","","hypothetical protein","1","1","1","1","9240","1","2217","","869","869","869","","","","FIJMHGMP_05279","","","","",""
"group_12957","","hypothetical protein","1","1","1","1","9238","1","2220","","200","200","200","","","","FIJMHGMP_05281","","","","",""
"group_12958","","hypothetical protein","1","1","1","1","9237","1","2221","","1631","1631","1631","","","","FIJMHGMP_05282","","","","",""
"group_12959","","hypothetical protein","1","1","1","1","9235","1","2199","","755","755","755","","","","FIJMHGMP_05284","","","","",""
"group_12960","","hypothetical protein","1","1","1","1","9234","1","2198","","1943","1943","1943","","","","FIJMHGMP_05285","","","","",""
"group_12961","","hypothetical protein","1","1","1","1","12504","1","271","","389","389","389","","","","FIJMHGMP_05286","","","","",""
"group_12962","","hypothetical protein","1","1","1","1","12505","1","272","","188","188","188","","","","FIJMHGMP_05287","","","","",""
"group_12963","","hypothetical protein","1","1","1","1","12506","1","273","","380","380","380","","","","FIJMHGMP_05288","","","","",""
"group_12964","","hypothetical protein","1","1","1","1","12507","1","274","","1130","1130","1130","","","","FIJMHGMP_05289","","","","",""
"group_12965","","hypothetical protein","1","1","1","1","12508","1","275","","287","287","287","","","","FIJMHGMP_05290","","","","",""
"group_12966","ftsH_6","ATP-dependent zinc metalloprotease FtsH","1","1","1","1","12509","1","276","","1529","1529","1529","","","","FIJMHGMP_05291","","","","",""
"group_12967","","hypothetical protein","1","1","1","1","12510","1","277","","125","125","125","","","","FIJMHGMP_05292","","","","",""
"group_12968","","hypothetical protein","1","1","1","1","12511","1","278","","380","380","380","","","","FIJMHGMP_05293","","","","",""
"group_12969","","hypothetical protein","1","1","1","1","12512","1","279","","203","203","203","","","","FIJMHGMP_05294","","","","",""
"group_12970","","hypothetical protein","1","1","1","1","12513","1","280","","353","353","353","","","","FIJMHGMP_05295","","","","",""
"group_12971","","hypothetical protein","1","1","1","1","12514","1","281","","371","371","371","","","","FIJMHGMP_05296","","","","",""
"group_12972","","hypothetical protein","1","1","1","1","12515","1","282","","260","260","260","","","","FIJMHGMP_05297","","","","",""
"group_12973","","hypothetical protein","1","1","1","1","12516","1","283","","326","326","326","","","","FIJMHGMP_05298","","","","",""
"group_12974","","hypothetical protein","1","1","1","1","12517","1","284","","485","485","485","","","","FIJMHGMP_05299","","","","",""
"group_12975","","hypothetical protein","1","1","1","1","12518","1","285","","200","200","200","","","","FIJMHGMP_05300","","","","",""
"group_12976","","hypothetical protein","1","1","1","1","12547","1","270","","182","182","182","","","","FIJMHGMP_05302","","","","",""
"group_12977","","hypothetical protein","1","1","1","1","12548","1","269","","398","398","398","","","","FIJMHGMP_05303","","","","",""
"group_12978","","hypothetical protein","1","1","1","1","12549","1","268","","278","278","278","","","","FIJMHGMP_05304","","","","",""
"group_12979","","hypothetical protein","1","1","1","1","12550","1","267","","341","341","341","","","","FIJMHGMP_05305","","","","",""
"group_12980","","hypothetical protein","1","1","1","1","12551","1","266","","380","380","380","","","","FIJMHGMP_05306","","","","",""
"group_12981","","hypothetical protein","1","1","1","1","12552","1","265","","326","326","326","","","","FIJMHGMP_05307","","","","",""
"group_12982","","hypothetical protein","1","1","1","1","12553","1","264","","1397","1397","1397","","","","FIJMHGMP_05308","","","","",""
"group_12983","","hypothetical protein","1","1","1","1","12554","1","263","","395","395","395","","","","FIJMHGMP_05309","","","","",""
"group_12984","","hypothetical protein","1","1","1","1","12555","1","262","","452","452","452","","","","FIJMHGMP_05310","","","","",""
"group_12985","","hypothetical protein","1","1","1","1","12556","1","261","","359","359","359","","","","FIJMHGMP_05311","","","","",""
"group_12986","","hypothetical protein","1","1","1","1","12557","1","260","","611","611","611","","","","FIJMHGMP_05312","","","","",""
"group_12987","","hypothetical protein","1","1","1","1","12558","1","259","","368","368","368","","","","FIJMHGMP_05313","","","","",""
"group_12988","","hypothetical protein","1","1","1","1","12559","1","258","","290","290","290","","","","FIJMHGMP_05314","","","","",""
"group_12989","","hypothetical protein","1","1","1","1","12560","1","257","","215","215","215","","","","FIJMHGMP_05315","","","","",""
"group_12990","","hypothetical protein","1","1","1","1","12561","1","256","","326","326","326","","","","FIJMHGMP_05316","","","","",""
"group_12991","","hypothetical protein","1","1","1","1","12562","1","255","","734","734","734","","","","FIJMHGMP_05317","","","","",""
"group_12992","","hypothetical protein","1","1","1","1","12564","1","347","","464","464","464","","","","FIJMHGMP_05319","","","","",""
"group_12993","","hypothetical protein","1","1","1","1","12642","1","234","","416","416","416","","","","FIJMHGMP_05326","","","","",""
"group_12994","","hypothetical protein","1","1","1","1","12641","1","233","","329","329","329","","","","FIJMHGMP_05327","","","","",""
"group_12995","","hypothetical protein","1","1","1","1","12640","1","232","","224","224","224","","","","FIJMHGMP_05328","","","","",""
"group_12996","","hypothetical protein","1","1","1","1","12639","1","231","","368","368","368","","","","FIJMHGMP_05329","","","","",""
"group_12997","","hypothetical protein","1","1","1","1","9600","91","3","","989","989","989","","","","FIJMHGMP_05332","","","","",""
"group_12998","rcsC_102","Sensor histidine kinase RcsC","1","1","1","1","9604","91","14","","5114","5114","5114","","","","FIJMHGMP_05335","","","","",""
"group_12999","","hypothetical protein","1","1","1","1","9605","91","13","","158","158","158","","","","FIJMHGMP_05336","","","","",""
"group_130","","IS66 family transposase ISCysp4","1","1","1","1","1042","2335","2","","734","734","734","","","","","","","","","CPEPOGAB_02701"
"group_13000","","hypothetical protein","1","1","1","1","9616","406","7","","1556","1556","1556","","","","FIJMHGMP_05345","","","","",""
"group_13001","pknD_47","Serine/threonine-protein kinase PknD","1","1","1","1","7723","117","38","","5447","5447","5447","","","","FIJMHGMP_05352","","","","",""
"group_13002","","hypothetical protein","1","1","1","1","7722","117","39","","617","617","617","","","","FIJMHGMP_05353","","","","",""
"group_13003","","hypothetical protein","1","1","1","1","7721","117","40","","5732","5732","5732","","","","FIJMHGMP_05354","","","","",""
"guaD","","Guanine deaminase","1","1","1","1","6044","2359","2","","470","470","470","","","","FIJMHGMP_05359","","","","",""
"group_13005","","hypothetical protein","1","1","1","1","4229","2359","1","","4118","4118","4118","","","","FIJMHGMP_05360","","","","",""
"group_13006","","hypothetical protein","1","1","1","1","4218","1","1707","","137","137","137","","","","FIJMHGMP_05363","","","","",""
"group_13007","pknD_48","Serine/threonine-protein kinase PknD","1","1","1","1","4216","1","1701","","2045","2045","2045","","","","FIJMHGMP_05365","","","","",""
"group_13008","","hypothetical protein","1","1","1","1","4215","1","1700","","383","383","383","","","","FIJMHGMP_05366","","","","",""
"group_13009","","hypothetical protein","1","1","1","1","4214","1","1699","","236","236","236","","","","FIJMHGMP_05367","","","","",""
"group_13010","","hypothetical protein","1","1","1","1","4213","1","1698","","260","260","260","","","","FIJMHGMP_05368","","","","",""
"group_13011","","hypothetical protein","1","1","1","1","4212","1","1697","","149","149","149","","","","FIJMHGMP_05369","","","","",""
"group_13012","","hypothetical protein","1","1","1","1","4211","1","1696","","338","338","338","","","","FIJMHGMP_05370","","","","",""
"group_13013","","hypothetical protein","1","1","1","1","4210","1","1695","","218","218","218","","","","FIJMHGMP_05371","","","","",""
"group_13014","","hypothetical protein","1","1","1","1","7599","10","90","","146","146","146","","","","FIJMHGMP_05372","","","","",""
"group_13015","","hypothetical protein","1","1","1","1","7602","10","58","","1373","1373","1373","","","","FIJMHGMP_05375","","","","",""
"group_13016","","hypothetical protein","1","1","1","1","7603","10","57","","749","749","749","","","","FIJMHGMP_05376","","","","",""
"group_13017","","hypothetical protein","1","1","1","1","7604","10","56","","1157","1157","1157","","","","FIJMHGMP_05377","","","","",""
"group_13018","","hypothetical protein","1","1","1","1","7587","99","6","","377","377","377","","","","FIJMHGMP_05381","","","","",""
"group_13019","","hypothetical protein","1","1","1","23","18","2307","20","","290","290","290","","","","FIJMHGMP_05403","","","","",""
"group_13020","","hypothetical protein","1","1","1","23","19","2307","21","","3461","3461","3461","","","","FIJMHGMP_05404","","","","",""
"group_13021","","hypothetical protein","1","1","1","23","20","2307","22","","296","296","296","","","","FIJMHGMP_05405","","","","",""
"group_13022","","hypothetical protein","1","1","1","23","21","2307","19","","317","317","317","","","","FIJMHGMP_05406","","","","",""
"group_13023","","hypothetical protein","1","1","1","23","22","2307","18","","617","617","617","","","","FIJMHGMP_05407","","","","",""
"group_13024","","hypothetical protein","1","1","1","23","17","2307","17","","407","407","407","","","","FIJMHGMP_05408","","","","",""
"thyX_2","","Flavin-dependent thymidylate synthase","1","1","1","23","16","2307","16","","722","722","722","","","","FIJMHGMP_05409","","","","",""
"group_13026","","hypothetical protein","1","1","1","23","15","2307","15","","1106","1106","1106","","","","FIJMHGMP_05410","","","","",""
"group_13027","","hypothetical protein","1","1","1","23","14","2307","14","","527","527","527","","","","FIJMHGMP_05411","","","","",""
"group_13028","","hypothetical protein","1","1","1","23","13","2307","13","","1415","1415","1415","","","","FIJMHGMP_05412","","","","",""
"group_13029","","hypothetical protein","1","1","1","23","12","2307","12","","2144","2144","2144","","","","FIJMHGMP_05413","","","","",""
"group_13030","","hypothetical protein","1","1","1","23","11","2307","11","","908","908","908","","","","FIJMHGMP_05414","","","","",""
"group_13031","","hypothetical protein","1","1","1","23","10","2307","10","","530","530","530","","","","FIJMHGMP_05415","","","","",""
"group_13032","","hypothetical protein","1","1","1","23","9","2307","9","","863","863","863","","","","FIJMHGMP_05416","","","","",""
"group_13033","","hypothetical protein","1","1","1","23","8","2307","8","","1154","1154","1154","","","","FIJMHGMP_05417","","","","",""
"group_13034","","hypothetical protein","1","1","1","23","7","2307","7","","230","230","230","","","","FIJMHGMP_05418","","","","",""
"group_13035","","hypothetical protein","1","1","1","23","6","2307","6","","314","314","314","","","","FIJMHGMP_05419","","","","",""
"group_13036","","hypothetical protein","1","1","1","23","5","2307","5","","638","638","638","","","","FIJMHGMP_05420","","","","",""
"group_13037","","hypothetical protein","1","1","1","23","4","2307","4","","263","263","263","","","","FIJMHGMP_05421","","","","",""
"group_13038","","hypothetical protein","1","1","1","23","3","2307","3","","362","362","362","","","","FIJMHGMP_05422","","","","",""
"group_13039","","hypothetical protein","1","1","1","23","2","2307","2","","365","365","365","","","","FIJMHGMP_05423","","","","",""
"group_13040","","hypothetical protein","1","1","1","23","1","2307","1","","137","137","137","","","","FIJMHGMP_05424","","","","",""
